Designator,Comment,Description,Footprint
"LD2, LD3","WP130WCP/2EGW","LED-TH: Kingbright WP130WCP/2EGW T-1 (3 mm) Bi-Level Circuit Board Indicator","WP130WCP"
"LD5","LED1","Chip Diode, EVERLIGHT 19-217/GHC-YR1S2/3T GREEN 520~535nm, 0603","LED_0603_EVERLIGHT_G_19-217/GHC-YR1S2/3T"
"LD6","LED2","Chip Diode, EVERLIGHT 19-217/GHC-YR1S2/3T GREEN 520~535nm, 0603","LED_0603_EVERLIGHT_G_19-217/GHC-YR1S2/3T"
"LD7","LED3","Chip Diode, EVERLIGHT 19-217/GHC-YR1S2/3T GREEN 520~535nm, 0603","LED_0603_EVERLIGHT_G_19-217/GHC-YR1S2/3T"
"M1, M2, M3, M4","MOUNTING","MOUNTING HOLE - NON INSTALLABLE","M3_SCREW"
"R1, R2, R3, R4, R5, R6, R7","2.2k","0402WGF2201TCE CHIP RESISTOR - SURFACE MOUNT 2.2KOHMS ±1% 1/16W 0402 ROHS","0402-R"
"R8, R9, R10, R11, R15, R29, R30, R31","22","0402WGF220JTCE CHIP RESISTOR - SURFACE MOUNT 22OHMS ±1% 1/16W 0402 ROHS","0402-R"
"R12, R19, R21","1.5k","0402WGF1501TCE CHIP RESISTOR - SURFACE MOUNT 1.5KOHMS ±1% 1/16W 0402 ROHS","0402-R"
"R13, R16","10k","0402WGF1002TCE CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402 ROHS","0402-R"
"R14","1M","0402WGF1004TCE CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/16W 0402 ROHS","0402-R"
"R17, R28","12.1k","0402WGF1212TCE CHIP RESISTOR - SURFACE MOUNT 12.1KOHMS ±1% 1/16W 0402 ROHS","0402-R"
"R18, R20, R22, R23","49.9","0402WGF499JTCE CHIP RESISTOR - SURFACE MOUNT 49.9OHMS ±1% 1/16W 0402 ROHS","0402-R"
"R32","12k","0402WGF1202TCE CHIP RESISTOR - SURFACE MOUNT 12KOHMS ±1% 1/16W 0402 ROHS","0402-R"
"R33","22k","0402WGF2202TCE CHIP RESISTOR - SURFACE MOUNT 22KOHMS ±1% 1/16W 0402 ROHS","0402-R"
"R34, R35","470","0603WAF4700T5E CHIP RESISTOR - SURFACE MOUNT 470OHMS ±1% 1/10W 0603 ROHS","0603"
"R36, R37, R38, R39, R40, R41, R42, R43, R44","680","0402WGF6800TCE CHIP RESISTOR - SURFACE MOUNT 680OHMS ±1% 1/16W 0402 ROHS","0402-R"
"SW1","BOOT","TE-Connectivity Pushbutton FSMRA4JHA04=R/A,TACT PB SW,260","FSMRA4JHA"
"TP11","LRCLK","TESTPAD","TESTPAD"
"TP12","DIN","TESTPAD","TESTPAD"
"TP13","BCLK","TESTPAD","TESTPAD"
"U1","LPC54606J512BD100","IC-MCU-SMT: NXP ARM® Cortex®-M4 LPC546xx Microcontroller IC 32-Bit 180MHz 512KB (512K x 8) FLASH 100-LQFP (14x14)","LQFP100-50P1600X1600X160"
"U2","TPS62291DRVR","2.25MHz 1A Step-Down Converter in 2x2mm SON Package Fixed 3.3V","DRV6_1P6X1"
"U3","24AA02E48-I/SN","2Kbit, 400kHz, 1.7V, I2C Serial EEPROM with EUI-48 Node Identity, 8-Pin SOIC 150mil, Industrial Temperature","SOIC-SN8_M"
"U4","LAN8720A","IC-ETH-SMT: Ethernet 10/100 Transceiver Full RMII 24-QFN-EP (4x4)","QFN50P400X400X100-25N-D"
"U5","SRV05-4P-T7","TVS Diode (Uni-directional)","SOT95P280X145-6N"
"U6, U7","XC6206P332MR","IC-PWR-SMT: LDO 3.3V 200mA SOT-23","SOT-23_TOR"
"U8","PCM5102APWR","IC-DAC-SMT: 112dB Audio Stereo DAC with PLL and 32-bit, 384 kHz PCM Interface","PW0020A_N"
"U9","74HC595D","NEXPERIA 74HC595","SOIC127P600X175-16N"
"Y1","12MHz","Yangxing Tech 12MHz ±10ppm 20pF 80O SMD-3225_4P SMD Crystal Resonators RoHS","SMD-3225_4P"
"Y2","25MHz","Yangxing Tech 25MHz ±10ppm 12pF 40O SMD-3225_4P SMD Crystal Resonators RoHS","X322525MOB4SI"
